title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST13116/2026,Black Rock,SHAKAS ROCK,204,1,SS PERISSA,36,Black Rock,,,2026-01-24,2026-05-13,4900000,157,31210,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST12536/2026,Black Rock,SHAKAS ROCK,204,1,SS PERISSA,43,Black Rock,,,2026-03-17,2026-05-07,4495000,114,39429,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST8834/2026,Black Rock,SHAKAS ROCK,204,3,SS THIRA,5,Black Rock,Ocean,70,2025-12-27,2026-04-01,4250000,95,44736,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST6356/2026,Black Rock,SHAKAS ROCK,204,1,SS PERISSA,55,Black Rock,,,2025-10-14,2026-03-13,3750000,131,28625,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST4594/2026,Black Rock,SHAKAS ROCK,204,12,SS AKROTIRI,19,Black Rock,Ocean,101,2025-11-07,2026-03-02,4900000,134,36567,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST3967/2026,Black Rock,SHAKAS ROCK,204,1,SS PERISSA,69,Black Rock,,,2025-10-14,2026-02-26,3600000,158,22784,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST75166/2025,Black Rock,SHAKAS ROCK,204,12,SS AKROTIRI,2,Black Rock,Ocean,101,2025-08-04,2025-12-15,3495000,133,26278,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST67880/2025,Black Rock,SHAKAS ROCK,204,1,SS PERISSA,71,Black Rock,,,2025-07-28,2025-10-16,3650000,116,31465,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST66677/2025,Black Rock,SHAKAS ROCK,204,13,SS PYRGOS,12,Black Rock,Pyrgos General,4,2025-08-13,2025-10-03,3150000,210,15000,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST62470/2025,Black Rock,SHAKAS ROCK,204,3,SS THIRA,38,Black Rock,Ocean,70,2025-07-06,2025-08-27,2680000,97,27628,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST62470/2025,Black Rock,SHAKAS ROCK,204,3,SS THIRA,55,Black Rock,Ocean,70,2025-07-06,2025-08-27,2680000,19,141052,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST62302/2025,Black Rock,SHAKAS ROCK,204,12,SS AKROTIRI,6,Black Rock,Ocean,101,2025-05-16,2025-08-26,2825000,116,24353,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST62137/2025,Black Rock,SHAKAS ROCK,204,1,SS PERISSA,37,Black Rock,,,2025-05-26,2025-08-25,3000000,192,15625,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST61771/2025,Black Rock,SHAKAS ROCK,204,3,SS THIRA,17,Black Rock,Ocean,70,2025-04-23,2025-08-21,3400000,108,31481,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
