title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST15718/2026,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,6,Dunkirk Estate,,,2026-03-29,2026-06-04,3200000,116,27586,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST15718/2026,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,13,Dunkirk Estate,,,2026-03-29,2026-06-04,3200000,25,128000,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
T15407/2026,Dunkirk Estate,DUNKIRK ESTATE,207,0,,,Dunkirk Estate,,,2026-03-20,2026-06-02,6900000,662,10422,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T14665/2026,Dunkirk Estate,DUNKIRK ESTATE,137,0,,,Dunkirk Estate,Sameja,137,2026-04-20,2026-05-27,4550000,673,6760,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
ST13680/2026,Dunkirk Estate,DUNKIRK ESTATE,180,0,SS THE GLADES,9,Dunkirk Estate,,,2025-02-18,2026-05-18,4300000,112,38392,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST13119/2026,Dunkirk Estate,DUNKIRK ESTATE,208,0,SS SAXONWOOD,7,Dunkirk Estate,,,2026-02-05,2026-05-13,10075000,536,18796,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
T12848/2026,Dunkirk Estate,DUNKIRK ESTATE,169,0,,,Dunkirk Estate,Short,169,2026-02-25,2026-05-11,4850000,433,11200,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST12546/2026,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,32,Dunkirk Estate,,,2026-03-13,2026-05-07,3600000,154,23376,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST12100/2026,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,73,Dunkirk Estate,,,2025-11-13,2026-04-30,100,28,3,False,legal_entity,legal_entity,1,sectional_title,False,lightstone_export
ST9144/2026,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,26,Dunkirk Estate,,,2026-02-17,2026-04-09,3050000,126,24206,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST9144/2026,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,60,Dunkirk Estate,,,2026-02-17,2026-04-09,3050000,18,169444,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
