title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST15954/2026,Willard Beach,BALLITOVILLE,1369,0,SS BARRINGTON,25,Willard Beach,Gazelle,1,2026-03-09,2026-06-08,2250000,100,22500,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST15366/2026,Willard Beach,FU,931,583,SS BAY RIDGE,38,Willard Beach,King Fisher,53,2026-03-30,2026-06-01,2320000,171,13567,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
ST14897/2026,Willard Beach,FU,931,498,SS KENWYN-ON-SEA,14,Willard Beach,,,2026-04-16,2026-05-28,4150000,151,27483,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
T14673/2026,Willard Beach,SHAKAS ROCK,16,0,,,Willard Beach,Kudu,72,2026-02-10,2026-05-27,8400000,2105,3990,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
ST13871/2026,Willard Beach,BALLITOVILLE,2012,0,SS SEA HAVEN,34,Willard Beach,Gazelle,14,2026-03-23,2026-05-19,3850000,203,18965,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST13134/2026,Willard Beach,FU,931,550,SS FAIRFIELDS,8,Willard Beach,Eland,28,2026-01-27,2026-05-13,1760000,72,24444,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST12401/2026,Willard Beach,BALLITOVILLE,1369,0,SS BARRINGTON,83,Willard Beach,Gazelle,1,2026-02-21,2026-05-06,2800000,177,15819,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST12290/2026,Willard Beach,FU,931,515,SS BEACHCOMBERS,6,Willard Beach,Compensation Beach,102,2026-02-02,2026-05-05,4900000,121,40495,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST12040/2026,Willard Beach,FU,931,583,SS BAY RIDGE,13,Willard Beach,King Fisher,53,2026-01-23,2026-04-30,2650000,171,15497,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST11852/2026,Willard Beach,BALLITOVILLE,2507,0,SS BOUGAIN VILLEAS,17,Willard Beach,Dolphin,2507,2026-03-09,2026-04-29,2320000,159,14591,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST9955/2026,Willard Beach,FU,931,583,SS BAY RIDGE,85,Willard Beach,King Fisher,53,2026-02-24,2026-04-15,2600000,169,15384,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST9493/2026,Willard Beach,FU,931,498,SS KENWYN-ON-SEA,43,Willard Beach,,,2026-02-02,2026-04-13,3700000,137,27007,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
T8306/2026,Willard Beach,SHAKAS ROCK,236,0,,,Willard Beach,Kudu,38,2026-02-23,2026-03-30,12350000,1976,6250,False,legal_entity,natural_person,1,freehold,True,lightstone_export
ST6993/2026,Willard Beach,BALLITOVILLE,2507,0,SS BOUGAIN VILLEAS,7,Willard Beach,Dolphin,2507,2025-11-14,2026-03-19,2400000,159,15094,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST5780/2026,Willard Beach,BALLITOVILLE,1369,0,SS BARRINGTON,78,Willard Beach,Gazelle,1,2025-12-13,2026-03-09,2775000,179,15502,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
