title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
T16229/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1705,20,,,Sheffield Beach,,,2026-01-28,2026-06-10,5500000,471,11677,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T15944/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1600,0,,,Sheffield Beach,,,2026-03-26,2026-06-08,3850000,1275,3019,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T15808/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1707,0,,,Sheffield Beach,,,,2026-06-05,0,11714,0,False,legal_entity,,1,freehold,False,lightstone_export
T14940/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1579,0,,,Sheffield Beach,,,2026-03-11,2026-05-29,2800000,1668,1678,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T14840/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1219,0,,,Sheffield Beach,,,2026-03-02,2026-05-28,2550000,1432,1780,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST14718/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1356,0,SS HIGHLINE,11,Sheffield Beach,,,2026-03-18,2026-05-27,3450000,152,22697,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
T14061/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1671,0,,,Sheffield Beach,,,2025-01-20,2026-05-21,2595000,1291,2010,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
T13436/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,497,0,,,Sheffield Beach,,,2026-02-19,2026-05-15,11000000,17000,647,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
T13282/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1190,0,,,Sheffield Beach,,,2026-01-07,2026-05-14,10950000,1451,7546,False,natural_person,natural_person,2,freehold,True,lightstone_export
T13121/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1122,0,,,Sheffield Beach,,,2026-03-12,2026-05-13,1700000,1308,1299,False,legal_entity,natural_person,1,freehold,True,lightstone_export
ST11881/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,501,0,SS VALLEY VIEWS,25,Sheffield Beach,,,2026-01-21,2026-04-29,6055000,299,20250,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
T11591/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1179,0,,,Sheffield Beach,,,,2026-04-28,0,1776,0,False,legal_entity,legal_entity,1,freehold,False,lightstone_export
T11594/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1669,0,,,Sheffield Beach,,,2026-01-19,2026-04-28,2500000,1161,2153,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
T11595/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1670,0,,,Sheffield Beach,,,2026-01-19,2026-04-28,2500000,1156,2162,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
T11592/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1568,0,,,Sheffield Beach,,,,2026-04-28,0,1966,0,False,legal_entity,legal_entity,1,freehold,False,lightstone_export
T11593/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1568,0,,,Sheffield Beach,,,2025-12-18,2026-04-28,2410000,1966,1225,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
T9919/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1640,0,,,Sheffield Beach,,,2026-01-24,2026-04-15,1800000,1334,1349,False,natural_person,legal_entity,1,freehold,True,lightstone_export
ST8823/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,498,0,SS MOYANA,10,Sheffield Beach,,,2025-12-15,2026-04-01,2550000,90,28333,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
T8596/2026,Zululami Luxury Coastal Estate,SHEFFIELD BEACH,1186,0,,,Sheffield Beach,,,2025-11-27,2026-03-31,2350000,1233,1905,False,natural_person,legal_entity,2,freehold,True,lightstone_export
