title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
T14788/2026,Ballito,BALLITOVILLE EXT 3,1413,0,,,Ballito,Ellis,18,2026-03-09,2026-05-28,3000000,745,4026,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST14885/2026,Ballito,BALLITOVILLE,1919,0,SS BALLITO CENTRE,7,Ballito,Sandra,25,2026-01-06,2026-05-28,427000,61,7000,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST14884/2026,Ballito,BALLITOVILLE,1919,0,SS BALLITO CENTRE,6,Ballito,Sandra,25,2026-01-06,2026-05-28,973000,139,7000,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST14887/2026,Ballito,BALLITOVILLE,1919,0,SS BALLITO CENTRE,35,Ballito,Sandra,25,2025-07-10,2026-05-28,3250000,506,6422,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST14886/2026,Ballito,BALLITOVILLE,1919,0,SS BALLITO CENTRE,30,Ballito,Sandra,25,2026-01-06,2026-05-28,1190000,170,7000,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
T14633/2026,Ballito,BALLITOVILLE,121,0,,,Ballito,Sandra,2,2026-03-10,2026-05-27,3000000,1098,2732,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
ST14312/2026,Ballito,FU,931,399,SS LA MER,11,Ballito,Compensation Beach,58,2025-01-23,2026-05-22,1725000,127,13582,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST14313/2026,Ballito,FU,931,399,SS LA MER,11,Ballito,Compensation Beach,58,2025-01-23,2026-05-22,379500,127,2988,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST14320/2026,Ballito,COMPENSATION BEACH,39,0,SS SANDPIPER BAY,13,Ballito,Compensation Beach,48,2026-02-23,2026-05-22,2800000,121,23140,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST13703/2026,Ballito,BALLITOVILLE,111,0,SS BALLITO VIEW,6,Ballito,Compensation,13,2026-03-17,2026-05-18,2300000,132,17424,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T12868/2026,Ballito,BALLITOVILLE,495,0,,,Ballito,Ashley,11,2026-03-05,2026-05-11,7500000,1012,7411,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
ST12171/2026,Ballito,BALLITOVILLE EXT 3,1431,0,SS THE DUNES,110,Ballito,Avondale,1431,2026-01-20,2026-05-04,2860000,212,13490,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST12041/2026,Ballito,BALLITOVILLE,1423,0,SS RIDGEVIEW,14,Ballito,Celtis,1,2026-01-23,2026-04-30,2200000,126,17460,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
T11222/2026,Ballito,BALLITOVILLE,2802,0,,,Ballito,Terrabellum,9,2026-03-17,2026-04-23,2200000,388,5670,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST8249/2026,Ballito,FU,931,401,SS LA 'TOINETTE,5,Ballito,Compensation Beach,10,2026-01-16,2026-03-30,3700000,121,30578,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T7935/2026,Ballito,BALLITOVILLE,2004,0,,,Ballito,Forestview,27,2025-09-15,2026-03-26,2050000,564,3634,False,natural_person,natural_person,2,freehold,True,lightstone_export
T7661/2026,Ballito,BALLITOVILLE,114,0,,,Ballito,Sandra,16,2025-10-31,2026-03-24,1071986,1043,1027,True,legal_entity,natural_person,1,freehold,False,lightstone_export
