title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
T16191/2026,Brettenwood Coastal Estate,BRETTENWOOD,169,0,,,Brettenwood,Kingfisher,169,2026-03-11,2026-06-10,5150000,780,6602,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST13970/2026,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,27,Brettenwood,,,2026-03-09,2026-05-20,4100000,178,23033,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T12646/2026,Brettenwood Coastal Estate,BRETTENWOOD,208,0,,,Brettenwood,Malachite,208,2026-03-06,2026-05-08,6500000,795,8176,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST11880/2026,Brettenwood Coastal Estate,BRETTENWOOD,131,0,SS BRETTENWOOD LAKES,74,Brettenwood,,,2026-02-23,2026-04-29,1875000,88,21306,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
T10827/2026,Brettenwood Coastal Estate,BRETTENWOOD,171,0,,,Brettenwood,Spurwig,171,2025-09-22,2026-04-20,1350000,703,1920,True,natural_person,natural_person,2,freehold,False,lightstone_export
ST8655/2026,Brettenwood Coastal Estate,BRETTENWOOD,131,0,SS BRETTENWOOD LAKES,75,Brettenwood,,,2026-01-16,2026-03-31,2150000,88,24431,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST8624/2026,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,3,Brettenwood,,,2025-10-01,2026-03-31,3300000,173,19075,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
T6691/2026,Brettenwood Coastal Estate,BRETTENWOOD,221,4,,,Brettenwood,Hornbill,4,2026-01-14,2026-03-17,6600000,960,6875,False,natural_person,legal_entity,2,freehold,True,lightstone_export
ST6788/2026,Brettenwood Coastal Estate,BRETTENWOOD,131,0,SS BRETTENWOOD LAKES,72,Brettenwood,,,2026-01-08,2026-03-17,1950000,88,22159,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
T6116/2026,Brettenwood Coastal Estate,BRETTENWOOD,332,0,,,Brettenwood,,,2025-12-31,2026-03-12,2100000,2495,841,True,legal_entity,natural_person,1,freehold,False,lightstone_export
T6018/2026,Brettenwood Coastal Estate,BRETTENWOOD,114,0,,,Brettenwood,,,2025-12-05,2026-03-11,9000000,1112,8093,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T5985/2026,Brettenwood Coastal Estate,BRETTENWOOD,524,0,,,Brettenwood,Jacana,524,2025-12-14,2026-03-11,5750000,1019,5642,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST4604/2026,Brettenwood Coastal Estate,BRETTENWOOD,222,0,SS PALM SWIFT,24,Brettenwood,,,2025-11-07,2026-03-02,3900000,159,24528,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST1159/2026,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,8,Brettenwood,,,2025-09-08,2026-01-23,3750000,219,17123,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST850/2026,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,11,Brettenwood,,,2025-11-16,2026-01-20,5600000,291,19243,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T45/2026,Brettenwood Coastal Estate,BRETTENWOOD,307,0,,,Brettenwood,Plover,307,2025-10-21,2026-01-06,6900000,993,6948,False,natural_person,natural_person,1,freehold,True,lightstone_export
T75516/2025,Brettenwood Coastal Estate,BRETTENWOOD,53,0,,,Brettenwood,Fish Eagle,53,2025-08-29,2025-12-18,8360000,1105,7565,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST75212/2025,Brettenwood Coastal Estate,BRETTENWOOD,472,0,SS WEAVERS NEST,17,Brettenwood,,,2025-10-27,2025-12-15,3725000,216,17245,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
T71442/2025,Brettenwood Coastal Estate,BRETTENWOOD,221,5,,,Brettenwood,,,2025-09-16,2025-11-17,6200000,1074,5772,False,natural_person,legal_entity,2,freehold,True,lightstone_export
T71160/2025,Brettenwood Coastal Estate,BRETTENWOOD,88,0,,,Brettenwood,Kingfisher,88,,2025-11-14,0,1273,0,False,natural_person,natural_person,1,freehold,False,lightstone_export
T69605/2025,Brettenwood Coastal Estate,BRETTENWOOD,197,0,,,Brettenwood,Kingfisher,197,2025-07-31,2025-10-31,5350000,987,5420,False,legal_entity,natural_person,1,freehold,True,lightstone_export
ST69506/2025,Brettenwood Coastal Estate,BRETTENWOOD,131,0,SS BRETTENWOOD LAKES,38,Brettenwood,,,2025-01-26,2025-10-30,2780000,152,18289,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T67633/2025,Brettenwood Coastal Estate,BRETTENWOOD,72,0,,,Brettenwood,Kingfisher,72,2025-06-02,2025-10-14,8500000,1034,8220,False,natural_person,natural_person,1,freehold,True,lightstone_export
T66650/2025,Brettenwood Coastal Estate,BRETTENWOOD,286,0,,,Brettenwood,,,,2025-10-03,0,840,0,False,natural_person,natural_person,1,freehold,False,lightstone_export
ST63562/2025,Brettenwood Coastal Estate,BRETTENWOOD,131,0,SS BRETTENWOOD LAKES,54,Brettenwood,,,2025-06-27,2025-09-05,3000000,170,17647,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
T62518/2025,Brettenwood Coastal Estate,BRETTENWOOD,532,0,,,Brettenwood,Jacana,532,2025-05-27,2025-08-28,7450000,1183,6297,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T61535/2025,Brettenwood Coastal Estate,BRETTENWOOD,165,0,,,Brettenwood,Kingfisher,165,2025-06-24,2025-08-20,6900000,905,7624,False,natural_person,natural_person,1,freehold,True,lightstone_export
T18916/2025,Brettenwood Coastal Estate,BRETTENWOOD,205,0,,,Brettenwood,Malachite,205,2025-05-07,2025-07-25,4000000,922,4338,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST18668/2025,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,21,Brettenwood,,,2025-01-07,2025-07-23,5750000,335,17164,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T16421/2025,Brettenwood Coastal Estate,BRETTENWOOD,264,0,,,Brettenwood,,,2025-04-25,2025-06-30,7695000,808,9523,False,natural_person,natural_person,1,freehold,True,lightstone_export
T10023/2025,Brettenwood Coastal Estate,BRETTENWOOD,265,0,,,Brettenwood,,,2025-02-15,2025-04-30,5700000,706,8073,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST10219/2025,Brettenwood Coastal Estate,BRETTENWOOD,131,0,SS BRETTENWOOD LAKES,69,Brettenwood,,,2025-02-19,2025-04-30,1800000,88,20454,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T9523/2025,Brettenwood Coastal Estate,BRETTENWOOD,29,0,,,Brettenwood,Franolin,29,2025-01-17,2025-04-22,600000,1092,549,True,legal_entity,natural_person,1,freehold,False,lightstone_export
T8657/2025,Brettenwood Coastal Estate,BRETTENWOOD,322,0,,,Brettenwood,,,2025-01-05,2025-04-10,7400000,1360,5441,False,natural_person,natural_person,2,freehold,True,lightstone_export
T8435/2025,Brettenwood Coastal Estate,BRETTENWOOD,90,0,,,Brettenwood,Kingfisher,90,2025-01-24,2025-04-09,12400000,1194,10385,False,legal_entity,natural_person,1,freehold,True,lightstone_export
ST7744/2025,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,19,Brettenwood,,,2024-12-13,2025-04-02,5100000,288,17708,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
T6922/2025,Brettenwood Coastal Estate,BRETTENWOOD,221,9,,,Brettenwood,Hornbill,9,2025-01-13,2025-03-26,6500000,923,7042,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
ST6426/2025,Brettenwood Coastal Estate,BRETTENWOOD,108,0,SS WAGTAIL,35,Brettenwood,,,2025-02-09,2025-03-20,4250000,192,22135,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T6267/2025,Brettenwood Coastal Estate,BRETTENWOOD,496,0,,,Brettenwood,,,2021-11-27,2025-03-19,5900000,1010,5841,False,natural_person,natural_person,2,freehold,True,lightstone_export
T3964/2025,Brettenwood Coastal Estate,BRETTENWOOD,290,0,,,Brettenwood,,,2024-11-07,2025-02-26,6800000,1278,5320,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
ST2868/2025,Brettenwood Coastal Estate,BRETTENWOOD,222,0,SS PALM SWIFT,12,Brettenwood,,,2024-10-25,2025-02-12,2900000,112,25892,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST2467/2025,Brettenwood Coastal Estate,BRETTENWOOD,131,0,SS BRETTENWOOD LAKES,23,Brettenwood,,,2024-12-28,2025-02-06,2540000,127,20000,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST2269/2025,Brettenwood Coastal Estate,BRETTENWOOD,222,0,SS PALM SWIFT,22,Brettenwood,,,2024-09-18,2025-02-04,2900000,120,24166,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
T1996/2025,Brettenwood Coastal Estate,BRETTENWOOD,221,8,,,Brettenwood,Hornbill,8,2024-11-20,2025-01-31,6350000,906,7008,False,natural_person,legal_entity,2,freehold,True,lightstone_export
T582/2025,Brettenwood Coastal Estate,BRETTENWOOD,85,0,,,Brettenwood,Kingfisher,85,2024-10-28,2025-01-16,6650000,1132,5874,False,natural_person,natural_person,2,freehold,True,lightstone_export
T35720/2024,Brettenwood Coastal Estate,BRETTENWOOD,62,0,,,Brettenwood,Malachite,62,2024-11-02,2024-12-17,7100000,1382,5137,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST33968/2024,Brettenwood Coastal Estate,BRETTENWOOD,222,0,SS PALM SWIFT,18,Brettenwood,,,2024-09-26,2024-11-29,2995000,121,24752,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST32491/2024,Brettenwood Coastal Estate,BRETTENWOOD,472,0,SS WEAVERS NEST,21,Brettenwood,,,2024-09-05,2024-11-18,3650000,219,16666,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
