title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST15846/2026,Compensation Beach,COMPENSATION BEACH EXT 1,36,1,SS LA BALLITO,106,Compensation Beach,Jack Powell,8,2021-04-09,2026-06-05,62150,124,501,False,natural_person,legal_entity,3,sectional_title,True,lightstone_export
ST15479/2026,Compensation Beach,FU,931,468,SS THE BOULDERS,46,Compensation Beach,Compensation Beach,84AB,2026-02-25,2026-06-02,4000000,122,32786,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST15154/2026,Compensation Beach,FU,931,528,SS LA MONTAGNE,59,Compensation Beach,Compensation Beach,100,,2026-05-29,0,71,0,False,natural_person,legal_entity,1,sectional_title,False,lightstone_export
ST15153/2026,Compensation Beach,FU,931,528,SS LA MONTAGNE,81,Compensation Beach,Compensation Beach,100,,2026-05-29,0,71,0,False,legal_entity,natural_person,1,sectional_title,False,lightstone_export
ST15205/2026,Compensation Beach,FU,931,351,SS CASABLANCA,19,Compensation Beach,Compensation Beach,98,2026-03-02,2026-05-29,2800000,155,18064,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST15206/2026,Compensation Beach,FU,931,468,SS THE BOULDERS,10,Compensation Beach,Compensation Beach,84AB,2026-02-03,2026-05-29,3000000,125,24000,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST13887/2026,Compensation Beach,FU,931,468,SS THE BOULDERS,26,Compensation Beach,Compensation Beach,84AB,2026-02-12,2026-05-19,2650000,82,32317,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST13156/2026,Compensation Beach,FU,931,522,SS THE BAY,10,Compensation Beach,Compensation Beach,96A,2026-01-27,2026-05-13,2950000,111,26576,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST12793/2026,Compensation Beach,FU,931,528,SS LA MONTAGNE,41,Compensation Beach,Compensation Beach,100,2023-07-28,2026-05-11,2000,36,55,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST12275/2026,Compensation Beach,COMPENSATION BEACH,41,0,SS LA PIROGUE,12,Compensation Beach,Compensation Beach,97,2025-02-19,2026-05-05,3250000,178,18258,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST12042/2026,Compensation Beach,COMPENSATION BEACH EXT 1,36,1,SS LA BALLITO,20,Compensation Beach,Jack Powell,8,2026-02-03,2026-04-30,1725000,56,30803,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T11792/2026,Compensation Beach,BALLITOVILLE,220,0,,,Compensation Beach,Marion,39A,2025-12-13,2026-04-29,3450000,1257,2744,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST11716/2026,Compensation Beach,FU,931,499,SS LA MUSTIQUE,13,Compensation Beach,Compensation Beach,94AB,,2026-04-29,0,172,0,False,natural_person,natural_person,2,sectional_title,False,lightstone_export
ST11191/2026,Compensation Beach,FU,931,528,SS LA MONTAGNE,13,Compensation Beach,Compensation Beach,100,2026-02-26,2026-04-23,2000,46,43,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST11310/2026,Compensation Beach,FU,931,463,SS BALLITO MANOR,1203,Compensation Beach,Compensation Beach,102B,2026-02-26,2026-04-23,4000000,137,29197,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST10250/2026,Compensation Beach,COMPENSATION BEACH EXT 1,36,1,SS LA BALLITO,103,Compensation Beach,Jack Powell,8,2026-01-18,2026-04-17,2500000,61,40983,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST9957/2026,Compensation Beach,FU,931,528,SS LA MONTAGNE,99,Compensation Beach,Compensation Beach,100,2026-02-04,2026-04-15,1170000,80,14625,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST9021/2026,Compensation Beach,COMPENSATION BEACH EXT 1,36,1,SS LA BALLITO,106,Compensation Beach,Jack Powell,8,,2026-04-08,0,124,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST9022/2026,Compensation Beach,COMPENSATION BEACH EXT 1,36,1,SS LA BALLITO,107,Compensation Beach,Jack Powell,8,,2026-04-08,0,124,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST8669/2026,Compensation Beach,COMPENSATION BEACH EXT 1,36,1,SS LA BALLITO,29,Compensation Beach,Jack Powell,8,,2026-03-31,0,50,0,False,natural_person,natural_person,1,sectional_title,False,lightstone_export
ST8201/2026,Compensation Beach,FU,931,297,SS CORAL COVE LODGE,6,Compensation Beach,Compensation Beach,72,2025-12-09,2026-03-27,2200000,46,47826,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST7910/2026,Compensation Beach,FU,931,528,SS LA MONTAGNE,2,Compensation Beach,Compensation Beach,100,2025-10-17,2026-03-26,2000,38,52,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST8049/2026,Compensation Beach,COMPENSATION BEACH EXT 1,36,1,SS LA BALLITO,84,Compensation Beach,Jack Powell,8,2026-01-20,2026-03-26,1800000,56,32142,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST7709/2026,Compensation Beach,FU,931,516,SS BOULDER BAY LODGE,34,Compensation Beach,,,2026-01-26,2026-03-24,50000,134,373,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
