title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
T16052/2026,Elaleni Coastal Estate,SHEFFIELD BEACH,965,0,,,Sheffield Beach,,,2026-02-24,2026-06-09,2100000,906,2317,False,natural_person,legal_entity,2,freehold,True,lightstone_export
T14817/2026,Elaleni Coastal Estate,SHEFFIELD BEACH,1010,0,,,Sheffield Beach,,,2026-02-17,2026-05-28,2500000,1950,1282,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T14399/2026,Elaleni Coastal Estate,SHEFFIELD BEACH,1005,0,,,Sheffield Beach,,,2026-02-23,2026-05-25,13500000,2645,5103,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T13315/2026,Elaleni Coastal Estate,SHEFFIELD BEACH,943,0,,,Sheffield Beach,,,2026-04-02,2026-05-14,1500000,970,1546,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T12529/2026,Elaleni Coastal Estate,SHEFFIELD BEACH,957,0,,,Sheffield Beach,,,2026-01-28,2026-05-07,2500000,1082,2310,False,natural_person,legal_entity,2,freehold,True,lightstone_export
T12226/2026,Elaleni Coastal Estate,SHEFFIELD BEACH,1028,0,,,Sheffield Beach,,,2026-01-30,2026-05-05,2230000,1014,2199,False,natural_person,natural_person,1,freehold,True,lightstone_export
T10905/2026,Elaleni Coastal Estate,SHEFFIELD BEACH,984,0,,,Sheffield Beach,,,2026-02-09,2026-04-21,2450000,1561,1569,False,natural_person,natural_person,2,freehold,True,lightstone_export
T9119/2026,Elaleni Coastal Estate,SHEFFIELD BEACH,935,0,,,Sheffield Beach,,,2026-01-12,2026-04-09,7200000,971,7415,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T8604/2026,Elaleni Coastal Estate,SHEFFIELD BEACH,1040,0,,,Sheffield Beach,,,,2026-03-31,0,49546,0,False,legal_entity,legal_entity,1,freehold,False,lightstone_export
T8605/2026,Elaleni Coastal Estate,SHEFFIELD BEACH,1040,1,,,Sheffield Beach,,,,2026-03-31,0,5332,0,False,legal_entity,legal_entity,1,freehold,False,lightstone_export
T8606/2026,Elaleni Coastal Estate,SHEFFIELD BEACH,1040,1,,,Sheffield Beach,,,2025-05-28,2026-03-31,6840000,5332,1282,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
T8104/2026,Elaleni Coastal Estate,SHEFFIELD BEACH,1035,0,,,Sheffield Beach,,,2025-10-28,2026-03-27,1000000,1293,773,True,natural_person,natural_person,1,freehold,False,lightstone_export
