title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
T13313/2026,Salt Rock,SALT ROCK,761,0,,,Salt Rock,Garland,761,2026-03-16,2026-05-14,6400000,8452,757,False,natural_person,natural_person,2,freehold,True,lightstone_export
T12806/2026,Salt Rock,SALT ROCK EXT 2,619,0,,,Salt Rock,Robbins,8,2026-01-17,2026-05-11,2750000,1146,2399,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T12004/2026,Salt Rock,SALT ROCK EXT 4,823,0,,,Salt Rock,Lagoon,31,2025-09-24,2026-04-30,4330000,1269,3412,False,natural_person,natural_person,2,freehold,True,lightstone_export
T11985/2026,Salt Rock,SALT ROCK EXT 2,628,0,,,Salt Rock,Robbins,3,2026-04-09,2026-04-30,2600000,1040,2500,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T9757/2026,Salt Rock,SALT ROCK EXT 4,917,1,,,Salt Rock,,,2023-11-30,2026-04-14,1250000,1231,1015,False,natural_person,natural_person,2,freehold,True,lightstone_export
T8551/2026,Salt Rock,SALT ROCK,771,0,,,Salt Rock,Mcdonald,3,2026-02-03,2026-03-31,4260000,1367,3116,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST8630/2026,Salt Rock,FU,1521,81,SS EVERGREEN ESTATES,4,Salt Rock,The Ridge,1,2025-12-30,2026-03-31,2350000,151,15562,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST7209/2026,Salt Rock,FU,1521,81,SS EVERGREEN ESTATES,28,Salt Rock,The Ridge,1,2025-12-19,2026-03-20,2500000,151,16556,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T7068/2026,Salt Rock,FU,1521,421,,,Salt Rock,Hugh Dent,29,2025-12-15,2026-03-19,3900000,1346,2897,False,natural_person,legal_entity,2,freehold,True,lightstone_export
T5582/2026,Salt Rock,SALT ROCK EXT 3,728,0,,,Salt Rock,Hugh Dent,36,,2026-03-06,0,1068,0,False,natural_person,natural_person,1,freehold,False,lightstone_export
ST4852/2026,Salt Rock,SALT ROCK EXT 1,477,0,SS GLENEAGLES,8,Salt Rock,Fairway,1,2025-11-20,2026-03-04,3200000,138,23188,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
T4972/2026,Salt Rock,FU,1521,221,,,Salt Rock,The Ridge,1,2024-12-26,2026-03-04,3500000,1380,2536,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST4499/2026,Salt Rock,FU,1521,81,SS EVERGREEN ESTATES,34,Salt Rock,The Ridge,1,2026-01-17,2026-03-02,2500000,151,16556,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T4290/2026,Salt Rock,SALT ROCK EXT 1,541,0,,,Salt Rock,Basil Hulett,541,2025-01-30,2026-02-27,2185000,24281,89,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
T1630/2026,Salt Rock,SALT ROCK EXT 2,618,0,,,Salt Rock,Robbins,10,2025-11-10,2026-01-29,3950000,1150,3434,False,natural_person,natural_person,1,freehold,True,lightstone_export
T1228/2026,Salt Rock,SALT ROCK EXT 2,696,0,,,Salt Rock,Gifford,27,2025-11-17,2026-01-26,3900000,1075,3627,False,natural_person,legal_entity,2,freehold,True,lightstone_export
T413/2026,Salt Rock,SALT ROCK EXT 1,474,0,,,Salt Rock,Fairway,7,2025-11-07,2026-01-12,6250000,701,8915,False,natural_person,natural_person,2,freehold,True,lightstone_export
T418/2026,Salt Rock,FU,1521,436,,,Salt Rock,Ralph's,15,2025-10-07,2026-01-12,3000000,1156,2595,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
ST76066/2025,Salt Rock,FU,1521,81,SS EVERGREEN ESTATES,37,Salt Rock,The Ridge,1,2025-11-24,2025-12-23,2250000,153,14705,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T74970/2025,Salt Rock,SALT ROCK EXT 3,728,0,,,Salt Rock,Hugh Dent,36,2025-09-10,2025-12-15,3100000,1068,2902,False,natural_person,legal_entity,1,freehold,True,lightstone_export
T74580/2025,Salt Rock,FU,1521,623,,,Salt Rock,Little Maritzburg,9B,,2025-12-11,0,1093,0,False,legal_entity,natural_person,1,freehold,False,lightstone_export
T74360/2025,Salt Rock,SALT ROCK EXT 4,862,0,,,Salt Rock,Lagoon,28,2025-08-06,2025-12-10,1400000,1297,1079,True,legal_entity,natural_person,1,freehold,False,lightstone_export
T74086/2025,Salt Rock,FU,1521,316,,,Salt Rock,Shrimp,6,2025-04-17,2025-12-08,30014806,1909,15722,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
T74086/2025,Salt Rock,FU,1521,687,,,Salt Rock,,,2025-04-17,2025-12-08,30014806,1094,27435,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
