title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST15370/2026,Shakas Rock,SHAKAS ROCK,126,4,SS CHAKAS COVE,95,Shakas Rock,,,2026-03-25,2026-06-01,3000000,105,28571,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST13889/2026,Shakas Rock,SHAKAS ROCK,235,0,SS PEBBLE BEACH,31,Shakas Rock,General Lighting,1,2026-02-08,2026-05-19,4792000,178,26921,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST12549/2026,Shakas Rock,SHAKAS ROCK,244,0,SS CHAKAS ROCK CHALETS,54,Shakas Rock,Ocean,68,2026-03-16,2026-05-07,1250000,39,32051,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
ST11898/2026,Shakas Rock,FU,931,655,SS ATRIUM,5,Shakas Rock,,,2026-02-24,2026-04-30,2780000,164,16951,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST11898/2026,Shakas Rock,FU,931,655,SS ATRIUM,91,Shakas Rock,,,2026-02-24,2026-04-30,2780000,18,154444,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST11869/2026,Shakas Rock,SHAKAS ROCK,268,0,SS TAHARI COASTAL ESTATE,5,Shakas Rock,,,2026-02-02,2026-04-29,7300000,273,26739,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST11025/2026,Shakas Rock,SHAKAS ROCK,126,4,SS CHAKAS COVE,36,Shakas Rock,,,,2026-04-21,0,90,0,False,natural_person,natural_person,1,sectional_title,False,lightstone_export
ST10876/2026,Shakas Rock,SHAKAS ROCK,244,0,SS CHAKAS ROCK CHALETS,38,Shakas Rock,Ocean,68,2026-03-07,2026-04-20,1450000,74,19594,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST8334/2026,Shakas Rock,SHAKAS ROCK,122,0,SS EDEN PALMS,8,Shakas Rock,Main,2,2025-11-30,2026-03-30,2700000,97,27835,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST7892/2026,Shakas Rock,FU,931,629,SS PENTIRE POINT,2,Shakas Rock,,,,2026-03-25,0,216,0,False,natural_person,natural_person,1,sectional_title,False,lightstone_export
ST7101/2026,Shakas Rock,SHAKAS ROCK,244,0,SS CHAKAS ROCK CHALETS,50,Shakas Rock,Ocean,68,2026-02-23,2026-03-21,1850000,73,25342,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST6946/2026,Shakas Rock,SHAKAS ROCK,126,4,SS CHAKAS COVE,25,Shakas Rock,,,2026-02-05,2026-03-18,3350000,76,44078,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
T6436/2026,Shakas Rock,SHAKAS ROCK,104,0,,,Shakas Rock,Hill,3,2025-09-22,2026-03-16,9800000,1119,8757,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
ST6347/2026,Shakas Rock,SHAKAS ROCK,80,8,SS ARUBA,6,Shakas Rock,Ocean,72,2025-12-12,2026-03-13,2850000,149,19127,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST5652/2026,Shakas Rock,SHAKAS ROCK,100,0,SS CHAKAS HEIGHTS,3,Shakas Rock,Ocean,45,2026-01-22,2026-03-06,2690000,109,24678,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST5648/2026,Shakas Rock,SHAKAS ROCK,268,0,SS TAHARI COASTAL ESTATE,11,Shakas Rock,,,2025-12-09,2026-03-06,5000000,242,20661,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST3805/2026,Shakas Rock,SHAKAS ROCK,118,0,SS ERF 118 SHAKAS ROCK,3,Shakas Rock,Ocean,56,2025-11-22,2026-02-25,4250000,238,17857,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST3240/2026,Shakas Rock,SHAKAS ROCK,268,0,SS TAHARI COASTAL ESTATE,15,Shakas Rock,,,2025-10-22,2026-02-13,17250000,496,34778,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST2403/2026,Shakas Rock,SHAKAS ROCK,244,0,SS CHAKAS ROCK CHALETS,52,Shakas Rock,Ocean,68,2025-11-22,2026-02-05,1440000,38,37894,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST2097/2026,Shakas Rock,SHAKAS ROCK,126,4,SS CHAKAS COVE,59,Shakas Rock,,,2025-11-10,2026-02-02,2200000,61,36065,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST1536/2026,Shakas Rock,SHAKAS ROCK,80,8,SS ARUBA,2,Shakas Rock,Ocean,72,2025-10-03,2026-01-28,2900000,165,17575,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST971/2026,Shakas Rock,SHAKAS ROCK,126,4,SS CHAKAS COVE,8,Shakas Rock,,,2025-09-25,2026-01-21,3300000,91,36263,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST75995/2025,Shakas Rock,SHAKAS ROCK,126,4,SS CHAKAS COVE,11,Shakas Rock,,,2025-10-27,2025-12-22,3200000,77,41558,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST75836/2025,Shakas Rock,SHAKAS ROCK,100,0,SS CHAKAS HEIGHTS,4,Shakas Rock,Ocean,45,2025-10-06,2025-12-19,2950000,109,27064,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST74119/2025,Shakas Rock,FU,931,629,SS PENTIRE POINT,13,Shakas Rock,,,2025-07-14,2025-12-08,2800000,199,14070,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST73094/2025,Shakas Rock,SHAKAS ROCK,100,0,SS CHAKAS HEIGHTS,6,Shakas Rock,Ocean,45,2025-09-01,2025-11-28,3300000,109,30275,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST72729/2025,Shakas Rock,SHAKAS ROCK,100,0,SS CHAKAS HEIGHTS,8,Shakas Rock,Ocean,45,2025-08-29,2025-11-27,5000000,168,29761,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST72227/2025,Shakas Rock,SHAKAS ROCK,91,11,SS SIESTA,31,Shakas Rock,Ocean,76,2025-10-22,2025-11-24,3250000,131,24809,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST71074/2025,Shakas Rock,SHAKAS ROCK,235,0,SS PEBBLE BEACH,18,Shakas Rock,General Lighting,1,2025-08-11,2025-11-14,4800000,137,35036,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST70995/2025,Shakas Rock,SHAKAS ROCK,235,0,SS PEBBLE BEACH,37,Shakas Rock,General Lighting,1,2025-10-01,2025-11-13,1950000,70,27857,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST70568/2025,Shakas Rock,SHAKAS ROCK,268,0,SS TAHARI COASTAL ESTATE,20,Shakas Rock,,,2025-08-29,2025-11-10,8400000,418,20095,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST69749/2025,Shakas Rock,FU,931,655,SS ATRIUM,68,Shakas Rock,,,2025-09-10,2025-10-31,1800000,76,23684,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST69386/2025,Shakas Rock,SHAKAS ROCK,126,4,SS CHAKAS COVE,102,Shakas Rock,,,2023-11-15,2025-10-30,1200000,50,24000,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST68320/2025,Shakas Rock,FU,931,630,SS OCEANS ON MAIN,2,Shakas Rock,,,2023-05-19,2025-10-21,5250000,173,30346,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
ST66589/2025,Shakas Rock,SHAKAS ROCK,91,11,SS SIESTA,25,Shakas Rock,Ocean,76,2025-07-04,2025-10-03,2090000,99,21111,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST66589/2025,Shakas Rock,SHAKAS ROCK,91,11,SS SIESTA,33,Shakas Rock,Ocean,76,2025-07-04,2025-10-03,2090000,17,122941,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST66564/2025,Shakas Rock,SHAKAS ROCK,268,0,SS TAHARI COASTAL ESTATE,25,Shakas Rock,,,2025-08-04,2025-10-02,3899990,226,17256,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST65961/2025,Shakas Rock,FU,931,655,SS ATRIUM,57,Shakas Rock,,,2025-08-27,2025-09-29,1800000,76,23684,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST65610/2025,Shakas Rock,SHAKAS ROCK,126,4,SS CHAKAS COVE,57,Shakas Rock,,,2025-08-01,2025-09-23,1700000,53,32075,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST65441/2025,Shakas Rock,SHAKAS ROCK,244,0,SS CHAKAS ROCK CHALETS,52,Shakas Rock,Ocean,68,2025-07-22,2025-09-22,1250000,38,32894,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST64650/2025,Shakas Rock,SHAKAS ROCK,80,8,SS ARUBA,1,Shakas Rock,Ocean,72,2025-06-17,2025-09-16,3650000,196,18622,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST64670/2025,Shakas Rock,FU,931,655,SS ATRIUM,16,Shakas Rock,,,2025-08-05,2025-09-16,1700000,76,22368,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST63842/2025,Shakas Rock,FU,931,630,SS OCEANS ON MAIN,1,Shakas Rock,,,2024-12-12,2025-09-09,5250000,171,30701,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST63843/2025,Shakas Rock,FU,931,630,SS OCEANS ON MAIN,9,Shakas Rock,,,2023-04-05,2025-09-09,4395000,145,30310,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST63844/2025,Shakas Rock,FU,931,630,SS OCEANS ON MAIN,12,Shakas Rock,,,2024-10-18,2025-09-09,5250000,178,29494,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
