title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST16279/2026,Simbithi Eco Estate,SIMBITHI,731,0,SS ETHAFENI,11,Simbithi,Dragon Tree,4,2025-09-30,2026-06-10,1450000,,,False,,,2,sectional_title,True,lightstone_export
T16152/2026,Simbithi Eco Estate,SIMBITHI,1148,0,,,Simbithi,Cussonia,3,2026-04-23,2026-06-10,22400000,,,False,,,1,freehold,True,lightstone_export
ST15961/2026,Simbithi Eco Estate,SIMBITHI,1150,0,SS JACANA,16,Simbithi,Simbathi,1150,2026-02-16,2026-06-08,5400000,,,False,,,1,sectional_title,True,lightstone_export
ST15968/2026,Simbithi Eco Estate,SIMBITHI,1202,0,SS SIMBITHI VERVE,11,Simbithi,Simbathi,1202,2026-03-10,2026-06-08,2850000,,,False,,,1,sectional_title,True,lightstone_export
T15305/2026,Simbithi Eco Estate,SIMBITHI,1052,0,,,Simbithi,Quinine,8,2026-03-06,2026-06-01,12000000,,,False,,,1,freehold,True,lightstone_export
ST15171/2026,Simbithi Eco Estate,SIMBITHI,36,0,SS ILALA,86,Simbithi,Sicklebush,3,2026-03-16,2026-05-29,3650000,,,False,,,1,sectional_title,True,lightstone_export
ST14871/2026,Simbithi Eco Estate,SIMBITHI,36,0,SS ILALA,70,Simbithi,Sicklebush,3,2026-03-26,2026-05-28,2900000,,,False,,,2,sectional_title,True,lightstone_export
ST14871/2026,Simbithi Eco Estate,SIMBITHI,36,0,SS ILALA,137,Simbithi,Sicklebush,3,2026-03-26,2026-05-28,2900000,,,False,,,2,sectional_title,True,lightstone_export
T14666/2026,Simbithi Eco Estate,SIMBITHI,85,0,,,Simbithi,Cussonia,6,2026-03-17,2026-05-27,9600000,,,False,,,1,freehold,True,lightstone_export
ST14737/2026,Simbithi Eco Estate,SIMBITHI,497,0,SS SABUTI,145,Simbithi,Sicklebush,4,2026-02-27,2026-05-27,5950000,,,False,,,1,sectional_title,True,lightstone_export
T14627/2026,Simbithi Eco Estate,SIMBITHI,1330,0,,,Simbithi,Silver Oak,1330,,2026-05-27,0,,,False,,,1,freehold,False,lightstone_export
T14007/2026,Simbithi Eco Estate,SIMBITHI,1020,0,,,Simbithi,Acacia,22,2026-02-12,2026-05-21,9750000,,,False,,,1,freehold,True,lightstone_export
ST13972/2026,Simbithi Eco Estate,SIMBITHI,731,0,SS ETHAFENI,22,Simbithi,Dragon Tree,4,2026-02-09,2026-05-20,1950000,,,False,,,1,sectional_title,True,lightstone_export
