title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST16101/2026,Thompsons Bay,SHAKAS ROCK,80,10,SS MARTINIQUE CHAKAS ROCK,1,Thompsons Bay,Ocean,67,2026-03-09,2026-06-09,6200000,142,43661,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST16101/2026,Thompsons Bay,SHAKAS ROCK,80,10,SS MARTINIQUE CHAKAS ROCK,2,Thompsons Bay,Ocean,67,2026-03-09,2026-06-09,6200000,39,158974,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST16101/2026,Thompsons Bay,SHAKAS ROCK,80,10,SS MARTINIQUE CHAKAS ROCK,8,Thompsons Bay,Ocean,67,2026-03-09,2026-06-09,6200000,10,620000,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST15597/2026,Thompsons Bay,SHAKAS ROCK,247,0,SS LONG ISLAND,110,Thompsons Bay,Ocean,247,2026-04-01,2026-06-03,3300000,17,194117,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST15597/2026,Thompsons Bay,SHAKAS ROCK,247,0,SS LONG ISLAND,91,Thompsons Bay,Ocean,247,2026-04-01,2026-06-03,3300000,153,21568,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST11860/2026,Thompsons Bay,SHAKAS ROCK,90,1,SS MILKWOOD,8,Thompsons Bay,Ocean,84,2026-01-01,2026-04-29,3500000,232,15086,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST9838/2026,Thompsons Bay,SHAKAS ROCK,204,14,SS KALLISTI,26,Thompsons Bay,Ocean,101,2026-01-08,2026-04-14,2700000,119,22689,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST6080/2026,Thompsons Bay,SHAKAS ROCK,90,5,SS LES DAUPHINE,16,Thompsons Bay,Ocean,86,2025-12-01,2026-03-11,3300000,232,14224,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST6066/2026,Thompsons Bay,SHAKAS ROCK,80,10,SS MARTINIQUE CHAKAS ROCK,76,Thompsons Bay,Ocean,67,2026-01-16,2026-03-11,3750000,170,22058,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST4357/2026,Thompsons Bay,SHAKAS ROCK,204,14,SS KALLISTI,4,Thompsons Bay,Ocean,101,2025-11-07,2026-02-27,2550000,131,19465,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST3826/2026,Thompsons Bay,SHAKAS ROCK,80,3,SS THE BEACON,54,Thompsons Bay,Ocean,92,2025-12-10,2026-02-25,2060000,95,21684,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST3231/2026,Thompsons Bay,SHAKAS ROCK,247,0,SS LONG ISLAND,98,Thompsons Bay,Ocean,247,2025-11-04,2026-02-13,3195000,175,18257,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
