title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST15212/2026,Umhlali Beach,SHAKAS ROCK,133,4,SS PAROS,11,Umhlali Beach,Iphala,48,2026-02-10,2026-05-29,3000000,147,20408,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST14560/2026,Umhlali Beach,SHAKAS ROCK,133,4,SS PAROS,50,Umhlali Beach,Iphala,48,2025-12-03,2026-05-26,3300000,161,20496,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST12423/2026,Umhlali Beach,SHAKAS ROCK,133,10,SS SKIATHOS,21,Umhlali Beach,Ocean,33,2026-02-11,2026-05-06,4100967,160,25631,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST11605/2026,Umhlali Beach,SHAKAS ROCK,181,0,SS CATFISH,9,Umhlali Beach,Ocean,23,2026-03-08,2026-04-28,4000000,185,21621,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST11138/2026,Umhlali Beach,SHAKAS ROCK,133,10,SS SKIATHOS,15,Umhlali Beach,Ocean,33,2026-01-14,2026-04-22,5050000,218,23165,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
ST11039/2026,Umhlali Beach,SHAKAS ROCK,139,0,SS VILLA FLAMENCO,1,Umhlali Beach,Ocean,31,2026-02-28,2026-04-21,2450000,94,26063,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST8658/2026,Umhlali Beach,SHAKAS ROCK,139,0,SS VILLA FLAMENCO,2,Umhlali Beach,Ocean,31,2026-01-26,2026-03-31,2335000,84,27797,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST4394/2026,Umhlali Beach,SHAKAS ROCK,134,2,SS CHAKA TERRACES,20,Umhlali Beach,Ocean,35,2025-11-17,2026-02-27,4900000,265,18490,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
ST4433/2026,Umhlali Beach,SHAKAS ROCK,134,2,SS CHAKA TERRACES,8,Umhlali Beach,Ocean,35,2025-12-03,2026-02-27,3600000,176,20454,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T2809/2026,Umhlali Beach,SHAKAS ROCK,160,1,,,Umhlali Beach,Shad,2,2025-11-07,2026-02-12,8500000,1484,5727,False,legal_entity,legal_entity,1,freehold,True,lightstone_export
T301/2026,Umhlali Beach,SHAKAS ROCK,159,1,,,Umhlali Beach,,,2025-05-17,2026-01-08,2200000,394,5583,False,natural_person,legal_entity,1,freehold,True,lightstone_export
ST71846/2025,Umhlali Beach,SHAKAS ROCK,139,0,SS VILLA FLAMENCO,15,Umhlali Beach,Ocean,31,2025-08-29,2025-11-19,3350000,94,35638,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST70288/2025,Umhlali Beach,SHAKAS ROCK,182,0,SS CHAKA SANDS,15,Umhlali Beach,Ocean,21,2025-09-18,2025-11-06,3100000,167,18562,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST69505/2025,Umhlali Beach,SHAKAS ROCK,139,0,SS VILLA FLAMENCO,13,Umhlali Beach,Ocean,31,2025-08-29,2025-10-30,2850000,94,30319,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
